week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
2026-04-24,31.324469898435087,-2134024538.6333935,2134024601.2823331,200915.9567384164,96794,96794,0
2026-05-01,31.36532300341437,-2402892368.1561837,2402892430.88683,167435.17285273928,98989,98989,0
2026-05-08,31.348898823645012,-2564876636.538232,2564876699.2360296,205884.55933843812,98100,98100,0
2026-05-15,31.27512198022369,-2703715110.4194593,2703715172.9697037,114745.10074118318,94207,94207,0
2026-05-22,31.790978461429408,-2833236909.2682858,2833236972.8502426,320343.94859758095,125038,125038,0
2026-05-29,31.9517718281779,-2956605867.8006005,2956605931.704144,225735.2835257467,136574,136574,0
2026-06-05,31.324993972981243,-3074935420.649759,3074935483.299747,160817.02341862314,96822,96822,0
2026-06-12,31.374847463434936,-3188858910.597992,3188858973.347687,211296.90137551437,99507,99507,0
