week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
2026-04-24,31.324469898435087,-2134024538.6333935,2134024601.2823331,200915.9567384164,96794,96794,0
2026-05-01,31.36532300341437,-2402892368.1561837,2402892430.88683,167435.17285273928,98989,98989,0
2026-05-08,31.299092911280262,-2564876636.588038,2564876699.1862235,195881.46537429967,95455,95455,0
2026-05-15,31.26302515795584,-2703715110.431556,2703715172.957607,113365.41140423565,93584,93584,0
2026-05-22,31.77302921513819,-2833236909.286235,2833236972.8322935,314645.3122756371,123812,123812,0
2026-05-29,31.453712704530385,-2956605868.2986593,2956605931.206085,137181.36428915153,103909,103909,0
2026-06-05,31.104413925573247,-3074935420.870339,3074935483.079167,128983.84587751694,85782,85782,0
2026-06-12,31.171161355987092,-3188858910.801678,3188858973.1440005,172358.76586286776,88983,88983,0
