week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts
2026-04-24,31.324469898435087,-2134024538.6333935,2134024601.2823331,200915.9567384164,96794
2026-05-01,31.36532300341437,-2402892368.1561837,2402892430.88683,167435.17285273928,98989
2026-05-08,31.299092911280262,-2564876636.588038,2564876699.1862235,195881.46537429967,95455
2026-05-15,31.26302515795584,-2703715110.431556,2703715172.957607,113365.41140423565,93584
2026-05-22,31.471392238700194,-2833236909.587872,2833236972.5306563,232713.7215361887,104922
2026-05-29,31.504624413640393,-2956605868.247748,2956605931.2569966,144346.3451433905,106853
2026-06-05,31.24207750058762,-3074935420.7326756,3074935483.2168303,148020.49527717574,92514
2026-06-12,31.312924571307043,-3188858910.659915,3188858973.2857637,198609.65541232534,96182
