week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts
2026-04-24,31.36514938383118,-44027326479.57523,44027326542.305534,209257.63168904246,98087
2026-05-01,31.393506330900145,-49607861626.09596,49607861688.88298,215276.4739549681,99554
2026-05-08,31.33452581247256,-52904251585.01095,52904251647.68,202946.54291688057,96526
2026-05-15,31.489785966952436,-55703440235.90064,55703440298.88021,237033.8039010552,104702
2026-05-22,31.538064348237505,-58309056850.45885,58309056913.53497,248758.15134876216,107383
2026-05-29,31.281381964714544,-60791130345.003624,60791130407.56638,192442.76045398752,93877
2026-06-05,31.351272509984486,-63173326683.27839,63173326745.980934,206373.8451802725,97376
2026-06-12,31.306359698914616,-65468403240.445465,65468403303.05818,197310.07881328504,95113
