week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
2026-05-08,31.29282074791969,-3232040955.901136,3232041018.486778,194656.7097729263,80363,80363,0
2026-05-15,31.301574184861746,-3639650332.0640273,3639650394.667176,117820.86262320286,80728,80728,0
2026-05-22,31.43441656370644,-3882973525.722872,3882973588.5917053,224266.11502098924,86486,86486,0
2026-05-29,31.58371349110663,-4090687059.9438496,4090687123.1112766,156226.15419941358,93449,93449,0
2026-06-05,31.32497718872623,-4284296333.5130444,4284296396.162999,160814.3242473434,81714,81714,0
2026-06-12,31.267950680941446,-4468731610.017799,4468731672.553701,189875.28795155362,79333,79333,0
2026-06-19,31.269142233674476,-4645693576.873077,4645693639.411362,152081.33537253554,79382,79382,0
2026-06-26,31.25222987682806,-4816126552.779558,4816126615.284018,186913.63651064088,78689,78689,0
