week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
2026-05-08,31.29282074791969,-3232040955.901136,3232041018.486778,194656.7097729263,80363,80363,0
2026-05-15,31.25176883123349,-3639650332.1138325,3639650394.6173706,112096.48839862528,78670,78670,0
2026-05-22,31.422333660460634,-3882973525.734955,3882973588.5796223,221572.63455364393,85946,85946,0
2026-05-29,31.366616206203457,-4090687060.160947,4090687122.8941793,125738.8804145285,83498,83498,0
2026-06-05,31.1770348684865,-4284296333.660987,4284296396.0150566,138699.276869609,75679,75679,0
2026-06-12,31.17228139288928,-4468731610.113469,4468731672.458032,172551.92219196513,75492,75492,0
2026-06-19,31.233390492894195,-4645693576.908829,4645693639.37561,146740.20907525532,77923,77923,0
2026-06-26,31.25222987682806,-4816126552.779558,4816126615.284018,186913.63651064088,78689,78689,0
