week_end_date,index_level,weekly_return,log_volume,log_volume_adj,log_trading_days,realized_volatility,volume_momentum,lag_lv_1,lag_lv_2,lag_lv_3,lag_lv_4,cumulative_4w_return,interest_rate_direction,macro_shock_score,macro_shock_abs,macro_neg_shock,macro_neg_lag1,macro_neg_lag2,macro_neg_lag3,macro_pos_shock,macro_pos_lag1,macro_pos_lag2,macro_pos_lag3,d_geo,d_mp,d_trade,d_corporate,trading_days,new_accounts
2023-01-06,6684.55810546875,,32.16653186631542,30.557093953881317,1.6094379124341003,0.02786135756259461,,,,,,,,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,21077.0
2023-01-13,6641.830078125,-0.006412566281769151,32.381682726335825,30.77224481390172,1.6094379124341003,0.01472769518185023,0.21515086002040462,30.557093953881317,,,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,19216.0
2023-01-20,6874.93115234375,0.03449408960876213,32.263330166904694,30.65389225447059,1.6094379124341003,0.009818471711893933,-0.11835255943113054,30.77224481390172,30.557093953881317,,,,,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,19776.0
2023-01-27,6898.98095703125,0.0034920840116353163,31.987060230373178,30.600765869253287,1.3862943611198906,0.009809053354438664,-0.05312638521730406,30.65389225447059,30.77224481390172,30.557093953881317,,,,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,18859.0
2023-02-03,6911.73193359375,0.0018465346845678357,32.30991995066301,30.700482038228913,1.6094379124341003,0.009684947526764758,0.09971616897562541,30.600765869253287,30.65389225447059,30.77224481390172,30.557093953881317,0.03342014202319613,0.25,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,22489.0
2023-02-10,6880.3291015625,-0.004553762663499369,32.2134387242714,30.604000811837302,1.6094379124341003,0.013707173926207546,-0.09648122639161016,30.700482038228913,30.600765869253287,30.65389225447059,30.77224481390172,0.035278945641465914,0.25,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,23171.0
2023-02-17,6895.7138671875,0.002233554592681611,32.143742797219254,30.534304884785154,1.6094379124341003,0.009125174650549024,-0.06969592705214822,30.604000811837302,30.700482038228913,30.600765869253287,30.65389225447059,0.0030184106253853937,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,28785.0
2023-02-24,6856.576171875,-0.0056918230873226755,32.119113953758095,30.509676041323996,1.6094379124341003,0.01193827660645355,-0.024628843461158567,30.534304884785154,30.604000811837302,30.700482038228913,30.600765869253287,-0.006165496473572598,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,24650.0
2023-03-03,6813.63623046875,-0.00628228463005341,32.31476627545892,30.705328363024822,1.6094379124341003,0.007018884448274005,0.1956523217008268,30.509676041323996,30.534304884785154,30.604000811837302,30.700482038228913,-0.014294315788193844,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,21112.0
2023-03-10,6765.3017578125,-0.0071190658407608316,32.117813344918865,30.508375432484765,1.6094379124341003,0.009066392960217613,-0.19695293054005703,30.705328363024822,30.509676041323996,30.534304884785154,30.604000811837302,-0.016859618965455306,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,19906.0
