cycle,week_end_date,trading_days,actual_log_volume,forecast_log_volume,lower_ci,upper_ci,actual_volume,forecast_volume,actual_new_accounts,forecast_new_accounts,ipo_announcement_week,error_log_vol,error_vol_pct,in_ci
1,2025-11-07,5,31.192725950625604,31.44813342614392,31.07650129911914,31.819765553168697,176115978564735.8,227363537362760.3,141835,133219,0,-0.25540747551831444,-29.098755953700806,1
1,2025-11-14,5,31.478300837112794,31.463713282788188,31.057438268891953,31.869988296684422,234327013560048.1,230933566740917.56,159872,134264,1,0.014587554324606344,1.4481671436745958,1
1,2025-11-21,5,31.3872415863777,31.61314947615344,31.182590844908912,32.04370810739797,213932037516445.94,268155295272022.94,121798,144714,1,-0.22590788977573695,-25.346020346021625,1
1,2025-11-28,5,31.736769964005024,31.57479313957821,31.121951551112026,32.0276347280444,303440868789390.5,258064598685674.4,152189,141957,0,0.16197682442681227,14.953908576899853,1
1,2025-12-05,5,31.385927513094547,31.36807008375432,30.8940610591663,31.842079108342336,213651099768355.97,209869703842271.94,151250,127976,0,0.017857429340228492,1.7698930312944248,1
1,2025-12-12,5,31.736579740465057,31.522798411631946,31.028534546643236,32.017062276620656,303383152682813.9,244989464636753.6,178238,138303,0,0.21378132883311096,19.24750518599518,1
1,2025-12-19,5,31.86041918681199,31.62159546703666,31.107875437346205,32.13531549672712,343379408586310.1,270429723832150.6,215515,145328,0,0.23882371977532912,21.244629971987173,1
1,2025-12-26,3,31.504229320791648,31.73083231785806,31.198366642509715,32.2632979932064,144289326199312.12,180986689628487.72,196680,153513,0,-0.2266029970664114,-25.433179567616932,1
1,2026-01-02,3,31.411026839751095,31.572011480083482,31.02143803884268,32.12258492132429,131448877594617.97,154408648994113.03,201752,141759,0,-0.16098464033238713,-17.466692618176545,1
2,2026-01-09,5,31.776651190205367,31.49503785235851,31.12070666927352,31.8693690354435,315787016114984.25,238281952975563.56,331332,171102,0,0.2816133378468564,24.543460998788998,1
2,2026-01-16,4,31.814594572227172,31.49753298713866,31.094126110939744,31.900939863337573,262399412316125.6,191101792733518.0,219665,171321,0,0.31706158508851345,27.171409780716964,1
2,2026-01-23,5,31.85074283083196,31.45757053781758,31.033833508652883,31.88130756698228,340072771093866.4,229519348772357.38,190549,167839,0,0.39317229301437706,32.50875451330804,1
2,2026-01-30,5,32.107583106280856,32.25304936665335,31.81047006275219,32.695628670554505,439659209428032.6,508500481890569.6,220817,252590,0,-0.1454662603724941,-15.657871138897535,1
2,2026-02-06,5,31.535294488427756,31.745355904061586,31.28475341968555,32.20595838843762,248070079514168.38,306057410561018.4,192956,194588,0,-0.21006141563383096,-23.375382940342906,1
2,2026-02-13,5,31.471149044049472,31.38365056656471,30.905708430232032,31.86159270289739,232657133685171.84,213165181053545.0,135479,161583,0,0.08749847748476114,8.377973339086633,1
2,2026-02-20,3,31.501691001463257,31.504397295650108,31.017162306453848,31.991632284846368,143923538253446.1,144313565214173.3,106564,171926,0,-0.002706294186850755,-0.27099595066957716,1
2,2026-02-27,5,31.725534960930663,31.476730014238093,30.973988338947613,31.979471689528573,300050789132745.7,233959216274809.88,100956,169499,0,0.24880494669256947,22.026795213225114,1
3,2026-03-06,5,31.544355143197997,31.663641782975123,-52665120.9247885,52665184.25207206,250327970401529.8,282042728645798.06,109551,183425,0,-0.11928663977712617,-12.669282698772054,1
3,2026-03-13,5,31.171387320728268,31.653201202434502,-59154537.514069445,59154600.820471846,172397717267441.7,279113357598453.88,94873,182420,0,-0.48181388170623407,-61.90084301723295,1
3,2026-03-20,2,31.33291164619211,31.881356522579544,-63375011.11809396,63375074.880807005,81047687080122.05,140257860224093.5,77895,205712,1,-0.5484448763874354,-73.05596899444832,1
3,2026-03-27,3,31.47469904056782,31.684838140797577,-67103282.890310146,67103346.25998642,140090720078369.88,172850889690538.66,110366,185485,0,-0.2101391002297568,-23.384967679402326,1
3,2026-04-03,4,31.018541508884567,31.61114508826416,-70600239.3820957,70600302.60438588,118369933962591.84,214094677081966.8,107616,178423,0,-0.5926035793795918,-80.86913620280181,1
3,2026-04-10,5,31.177544616693325,31.65785558564432,-73926568.23172463,73926631.5474358,173462495750472.06,280415486075459.0,123009,182867,0,-0.48031096895099523,-61.657702930113565,1
3,2026-04-17,5,31.33996883443578,31.65612204542118,-77108694.85056727,77108758.16281135,204054197165881.8,279929795654727.8,148481,182700,0,-0.3161532109854015,-37.184042054849,1
3,2026-04-24,5,31.30179169675035,31.63348144037308,-80164474.02651979,80164537.29348268,196410821414812.16,273663222892812.44,139723,180535,0,-0.3316897436227322,-39.33204948766349,1
3,2026-05-01,4,31.23121266774809,31.64120646717164,-83107950.90114604,83108014.18355899,146420982294214.25,220628372207286.0,111966,181271,0,-0.40999379942354963,-50.68084420029466,1
