week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
2026-04-24,31.427516871625787,31.117075932114656,31.73795781113692,222724.07380549944,105647,105647,0
2026-05-01,31.38498363364272,31.037202625430098,31.73276464185534,170759.62722181555,103594,103594,0
2026-05-08,31.307245699548464,30.925280240211972,31.689211158884955,197484.9731349772,99944,99944,0
2026-05-15,31.08003929886855,30.66671039219297,31.493368205544126,94408.43959154586,89997,89997,0
2026-05-22,31.818863630191583,31.376388795387665,32.261338464995504,329402.5063988498,126555,126555,0
2026-05-29,31.256964353181658,30.78714824701535,31.726780459347967,112680.40372336547,97652,97652,0
2026-06-05,30.97006001619976,30.47440855822447,31.46571147417505,112768.07335757485,85544,85544,0
2026-06-12,31.299027352843506,30.778822045322737,31.819232660364275,195868.62411257144,99566,99566,0
