week_end_date,forecast_log_volume,lower_ci,upper_ci,forecast_volume_idr_bn,forecast_new_accounts,baseline_new_accounts,ipo_contribution_accounts
2026-04-24,31.427516871625787,31.117075932114656,31.73795781113692,222724.07380549944,105647,105647,0
2026-05-01,31.38498363364272,31.037202625430098,31.73276464185534,170759.62722181555,103594,103594,0
2026-05-08,31.372478677405322,30.99051321806883,31.754444136741814,210796.97656864722,102998,102998,0
2026-05-15,31.07556234473949,30.662233438063915,31.48889125141507,93986.72204752632,89811,89811,0
2026-05-22,31.86664275288121,31.42416791807729,32.30911758768513,345523.1168581787,129376,129376,0
2026-05-29,31.90929413175024,31.43947802558393,32.37911023791655,216347.36872812174,131948,131948,0
2026-06-05,31.055756430622893,30.560104972647604,31.55140788859818,122858.05637981281,88994,88994,0
2026-06-12,31.767864671481657,31.24765936396089,32.28806997900243,313024.50179988524,123612,123612,0
